Pers.Livre	Cluster 0	Cluster 1	Cluster 2	Total Personnage
 _	[0.4632, 0.7303]	[0.5191, 0.601]	[0.0178, 0.1061]	1181
 papaSeverin	[0.0, 0.0]	[1.0, 0.002]	[0.0, 0.0]	2
 pers1	[0.3434, 0.0454]	[0.4343, 0.0422]	[0.2222, 0.1111]	99
 pers3	[0.2233, 0.0307]	[0.5922, 0.0598]	[0.1845, 0.096]	103
 pers5	[0.0, 0.0]	[0.25, 0.002]	[0.75, 0.0303]	8
 pers2	[0.2319, 0.0214]	[0.6522, 0.0441]	[0.1159, 0.0404]	69
 pers7	[0.2, 0.008]	[0.6667, 0.0196]	[0.1333, 0.0202]	30
 pers8	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0404]	8
 pers9	[0.6, 0.008]	[0.4, 0.0039]	[0.0, 0.0]	10
 pers4	[0.4, 0.008]	[0.1333, 0.002]	[0.4667, 0.0354]	15
 pers6	[0.1111, 0.0147]	[0.4343, 0.0422]	[0.4545, 0.2273]	99
 pers11	[0.5484, 0.0227]	[0.3871, 0.0118]	[0.0645, 0.0101]	31
 pers12	[0.3429, 0.016]	[0.4286, 0.0147]	[0.2286, 0.0404]	35
 pers13	[0.0, 0.0]	[0.625, 0.0049]	[0.375, 0.0152]	8
 pers14	[0.3333, 0.0013]	[0.3333, 0.001]	[0.3333, 0.0051]	3
 pers15	[0.4706, 0.0107]	[0.5294, 0.0088]	[0.0, 0.0]	17
 pers16	[0.25, 0.0013]	[0.5, 0.002]	[0.25, 0.0051]	4
 pers10	[0.2632, 0.0134]	[0.6316, 0.0235]	[0.1053, 0.0202]	38
 pers18	[0.1053, 0.0027]	[0.6842, 0.0127]	[0.2105, 0.0202]	19
 pers19	[0.5, 0.0027]	[0.25, 0.001]	[0.25, 0.0051]	4
 pers20	[0.2, 0.0013]	[0.0, 0.0]	[0.8, 0.0202]	5
 pers21	[0.0, 0.0]	[0.6667, 0.002]	[0.3333, 0.0051]	3
 pers22	[0.0, 0.0]	[1.0, 0.002]	[0.0, 0.0]	2
 pers23	[0.0, 0.0]	[0.75, 0.0029]	[0.25, 0.0051]	4
 pers24	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0051]	1
 pers25	[0.1277, 0.008]	[0.6596, 0.0304]	[0.2128, 0.0505]	47
 pers26	[0.6774, 0.028]	[0.3226, 0.0098]	[0.0, 0.0]	31
 pers27	[0.5, 0.0013]	[0.5, 0.001]	[0.0, 0.0]	2
 pers28	[0.0, 0.0]	[1.0, 0.002]	[0.0, 0.0]	2
 pers29	[1.0, 0.0053]	[0.0, 0.0]	[0.0, 0.0]	4
 pers30	[0.0, 0.0]	[1.0, 0.0039]	[0.0, 0.0]	4
 pers31	[0.0, 0.0]	[1.0, 0.001]	[0.0, 0.0]	1
 pers32	[0.0, 0.0]	[1.0, 0.001]	[0.0, 0.0]	1
 pers33	[0.6667, 0.0027]	[0.3333, 0.001]	[0.0, 0.0]	3
 pers34	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0101]	2
 mere	[0.0, 0.0]	[0.0, 0.0]	[1.0, 0.0051]	1
 Koli	[0.1818, 0.008]	[0.6364, 0.0206]	[0.1818, 0.0303]	33
 marchands	[0.25, 0.004]	[0.5833, 0.0069]	[0.1667, 0.0101]	12
 chef	[0.0, 0.0]	[1.0, 0.0069]	[0.0, 0.0]	7
 assistants	[0.0, 0.0]	[0.25, 0.001]	[0.75, 0.0152]	4
 meremarchand	[0.0, 0.0]	[1.0, 0.001]	[0.0, 0.0]	1
 marchand	[0.4, 0.0027]	[0.6, 0.0029]	[0.0, 0.0]	5
 vxpere	[0.2, 0.0013]	[0.6, 0.0029]	[0.2, 0.0051]	5
 sofas	[0.0, 0.0]	[1.0, 0.001]	[0.0, 0.0]	1
 roi	[0.0, 0.0]	[0.3333, 0.001]	[0.6667, 0.0101]	3
Total	[0.3808, 1.0]	[0.5186, 1.0]	[0.1007, 1.0]	1967
