Pers	Cluster 0	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Total
 _	469	18	135	189	367	3	1181
 papaSeverin	2	0	0	0	0	0	2
 pers1	20	12	23	12	22	10	99
 pers3	34	19	27	4	19	0	103
 pers5	0	4	2	0	0	2	8
 pers2	22	8	23	7	9	0	69
 pers7	13	4	7	1	5	0	30
 pers8	0	3	0	0	0	5	8
 pers9	3	0	1	3	3	0	10
 pers4	1	5	1	2	4	2	15
 pers6	19	34	24	4	7	11	99
 pers11	9	2	3	8	9	0	31
 pers12	10	6	5	5	7	2	35
 pers13	3	3	2	0	0	0	8
 pers14	0	0	1	0	1	1	3
 pers15	2	1	6	3	5	0	17
 pers16	2	0	0	1	0	1	4
 pers10	15	3	9	2	8	1	38
 pers18	2	3	11	0	2	1	19
 pers19	0	1	1	2	0	0	4
 pers20	0	3	0	0	1	1	5
 pers21	1	1	1	0	0	0	3
 pers22	1	0	1	0	0	0	2
 pers23	0	1	3	0	0	0	4
 pers24	0	1	0	0	0	0	1
 pers25	9	8	22	0	6	2	47
 pers26	6	0	4	8	13	0	31
 pers27	1	0	0	0	1	0	2
 pers28	0	0	2	0	0	0	2
 pers29	0	0	0	1	3	0	4
 pers30	0	0	4	0	0	0	4
 pers31	1	0	0	0	0	0	1
 pers32	0	0	1	0	0	0	1
 pers33	0	0	1	0	2	0	3
 pers34	0	2	0	0	0	0	2
 mere	0	1	0	0	0	0	1
 Koli	14	6	7	0	6	0	33
 marchands	4	1	3	0	3	1	12
 chef	5	0	2	0	0	0	7
 assistants	0	3	1	0	0	0	4
 meremarchand	1	0	0	0	0	0	1
 marchand	0	0	3	1	1	0	5
 vxpere	2	1	1	1	0	0	5
 sofas	1	0	0	0	0	0	1
 roi	1	2	0	0	0	0	3
Total	673	156	337	254	504	43	1967
