Pers.Livre	Cluster 0	Cluster 1	Total Personnage
groupe_ensemble. papaSeverin	[1.0, 0.0033]	[0.0, 0.0]	2
groupe_ensemble. pers1	[0.7273, 0.1178]	[0.2727, 0.1154]	99
groupe_ensemble. pers3	[0.767, 0.1293]	[0.233, 0.1026]	103
groupe_ensemble. pers5	[0.125, 0.0016]	[0.875, 0.0299]	8
groupe_ensemble. pers2	[0.7391, 0.0835]	[0.2609, 0.0769]	69
groupe_ensemble. pers7	[0.8, 0.0393]	[0.2, 0.0256]	30
groupe_ensemble. pers8	[0.0, 0.0]	[1.0, 0.0342]	8
groupe_ensemble. pers9	[1.0, 0.0164]	[0.0, 0.0]	10
groupe_ensemble. pers4	[0.5333, 0.0131]	[0.4667, 0.0299]	15
groupe_ensemble. pers6	[0.5051, 0.0818]	[0.4949, 0.2094]	99
groupe_ensemble. pers11	[0.9355, 0.0475]	[0.0645, 0.0085]	31
groupe_ensemble. pers12	[0.6857, 0.0393]	[0.3143, 0.047]	35
groupe_ensemble. pers13	[0.625, 0.0082]	[0.375, 0.0128]	8
groupe_ensemble. pers14	[0.6667, 0.0033]	[0.3333, 0.0043]	3
groupe_ensemble. pers15	[0.8235, 0.0229]	[0.1765, 0.0128]	17
groupe_ensemble. pers16	[0.75, 0.0049]	[0.25, 0.0043]	4
groupe_ensemble. pers10	[0.8684, 0.054]	[0.1316, 0.0214]	38
groupe_ensemble. pers18	[0.6842, 0.0213]	[0.3158, 0.0256]	19
groupe_ensemble. pers19	[0.75, 0.0049]	[0.25, 0.0043]	4
groupe_ensemble. pers20	[0.2, 0.0016]	[0.8, 0.0171]	5
groupe_ensemble. pers21	[0.6667, 0.0033]	[0.3333, 0.0043]	3
groupe_ensemble. pers22	[1.0, 0.0033]	[0.0, 0.0]	2
groupe_ensemble. pers23	[0.5, 0.0033]	[0.5, 0.0085]	4
groupe_ensemble. pers24	[0.0, 0.0]	[1.0, 0.0043]	1
groupe_ensemble. pers25	[0.5532, 0.0426]	[0.4468, 0.0897]	47
groupe_ensemble. pers26	[1.0, 0.0507]	[0.0, 0.0]	31
groupe_ensemble. pers27	[1.0, 0.0033]	[0.0, 0.0]	2
groupe_ensemble. pers28	[1.0, 0.0033]	[0.0, 0.0]	2
groupe_ensemble. _	[0.9153, 0.0884]	[0.0847, 0.0214]	59
groupe_ensemble. pers29	[1.0, 0.0065]	[0.0, 0.0]	4
groupe_ensemble. pers30	[0.5, 0.0033]	[0.5, 0.0085]	4
groupe_ensemble. pers31	[1.0, 0.0016]	[0.0, 0.0]	1
groupe_ensemble. pers32	[1.0, 0.0016]	[0.0, 0.0]	1
groupe_ensemble. pers33	[1.0, 0.0049]	[0.0, 0.0]	3
groupe_ensemble. pers34	[0.0, 0.0]	[1.0, 0.0085]	2
groupe_ensemble. mere	[0.0, 0.0]	[1.0, 0.0043]	1
groupe_ensemble. Koli	[0.7576, 0.0409]	[0.2424, 0.0342]	33
groupe_ensemble. marchands	[0.8333, 0.0164]	[0.1667, 0.0085]	12
groupe_ensemble. chef	[1.0, 0.0115]	[0.0, 0.0]	7
groupe_ensemble. assistants	[0.25, 0.0016]	[0.75, 0.0128]	4
groupe_ensemble. meremarchand	[1.0, 0.0016]	[0.0, 0.0]	1
groupe_ensemble. marchand	[1.0, 0.0082]	[0.0, 0.0]	5
groupe_ensemble. vxpere	[0.8, 0.0065]	[0.2, 0.0043]	5
groupe_ensemble. sofas	[1.0, 0.0016]	[0.0, 0.0]	1
groupe_ensemble. roi	[0.3333, 0.0016]	[0.6667, 0.0085]	3
Total	[0.7231, 1.0]	[0.2769, 1.0]	845
